,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,22921,17544,10580,10139,13140,17490,16869,22590,-,-,-,-,-
1,Market Cap Growth,0.31%,0.31%,-37.28%,-55.12%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,21523,16146,8349,7166,9449,13800,12905,18243,-,-,-,-,-
3,Last Close Price,64.80,49.60,29.91,28.55,37.00,49.25,47.50,63.61,-,-,-,-,-
4,PS Ratio,19.11,19.11,13.89,15.63,23.92,34.57,32.62,44.52,-,-,-,-,-
5,PB Ratio,5.66,4.34,2.62,2.46,3.06,3.99,3.80,5.01,-,-,-,-,-
6,P/TBV Ratio,4.43,4.43,2.67,2.50,3.06,4.00,3.80,5.01,-,-,-,-,-
7,P/OCF Ratio,-,-,-17.41,-,-,-,-,-,-,-,-,-,-
8,EV/Sales Ratio,23.45,17.59,10.96,11.04,17.20,27.27,24.96,35.95,-,-,-,-,-
9,Debt / Equity Ratio,0.04,0.04,0.04,0.03,0.02,0.01,0.00,0.00,0.00,0.02,-,0.15,0.03
10,Asset Turnover,-,0.16,0.16,0.08,0.23,0.07,0.07,0.07,-,-,-,-,
11,Inventory Turnover,-,-,1.50,1.93,1.56,9.12,2.24,3.55,1.55,-,-,-,-
12,Quick Ratio,-,-,3.05,5.44,6.85,9.51,13.18,11.43,10.55,2.81,-,3.24,-
13,Current Ratio,-,-,4.07,6.36,7.55,9.98,13.65,11.93,10.83,3.04,-,3.42,-
14,Return on Equity (ROE),-14.91%,-11.30%,-16.09%,-12.74%,-7.75%,-7.86%,-10.57%,-12.68%,-,-,-25.27%,-,
15,Return on Assets (ROA),-,-6.23%,-9.08%,-8.21%,-6.52%,-5.72%,-6.24%,-6.85%,-,-,-,-,
16,Return on Capital (ROIC),-7.14%,-7.07%,-10.12%,-9.07%,-7.08%,-6.19%,-6.85%,-8.04%,-,-,-15.69%,-,
17,Earnings Yield,-2.50%,-3.27%,-4.82%,-4.76%,-3.28%,-2.19%,-2.42%,-1.89%,-,-,-,-,-
18,FCF Yield,-,-20.35%,-15.95%,-9.60%,-5.60%,-4.81%,-3.13%,-,-,-,-,-,
19,Buyback Yield / Dilution,-,0.69%,-1.40%,-33.09%,-35.25%,-33.97%,-31.22%,-0.18%,-,-,-,-,
20,Total Shareholder Return,-,0.69%,-1.40%,-33.09%,-35.25%,-33.97%,-31.22%,-0.18%,-,-,-,-,
