,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,435.02,195.67,188.85,98.45,272.94,80.94,91.19,55.13,288.49,71.06,134.5,50.85
1,Other Revenue,-,-2.16,2.16,-,5.81,-0.32,0.32,-,1.32,-0.04,0.04,-
2,Revenue,435.02,193.51,191.01,98.45,278.75,80.62,91.51,55.13,289.8,71.02,134.54,50.85
3,Revenue Growth (YoY),56.06%,140.02%,108.74%,78.57%,-3.81%,13.52%,-31.99%,8.42%,-,-,-,-
4,Cost of Revenue,-410.73,161.2,167.5,82.03,237.39,48.51,77.76,27.21,213.91,36.55,98.75,25.57
5,Gross Profit,845.75,32.31,23.51,16.42,41.35,32.11,13.75,27.92,75.9,34.47,35.8,25.28
6,"Selling, General & Admin",-278.77,93.02,100.38,85.37,77.73,79.98,72.9,77.06,72.52,69.43,73.87,104.53
7,Research & Development,-261.81,80.77,102.59,78.45,87.49,63.46,70.91,72.98,122.02,77.8,58.62,88.08
8,Other Operating Expenses,1534,-44.06,0.26,0.09,-0.24,-13.91,-9.93,-27.89,42.63,-14.96,-1.29,-26.37
9,Operating Expenses,965.14,151.33,197.77,175.91,166.92,143.16,139,120.13,245.4,148.55,126.71,173.18
10,Operating Income,-119.38,-119.02,-174.26,-159.49,-125.57,-111.05,-125.25,-92.21,-169.51,-114.08,-90.92,-147.9
11,Interest Expense,-36.11,-1.18,-0.89,-0.57,-0.21,-0.09,-,-0.32,-,-0.88,-1.98,-0.4
12,Interest & Investment Income,2.64,6.8,13.66,15.65,21.23,15,12.74,5.54,8.74,8.61,10.51,5.3
13,Currency Exchange Gain (Loss),-,-0.02,0.02,-,0.05,-0.03,0.03,-,0.2,-0.24,0.24,-
14,Other Non Operating Income (Expenses),2.98,14.59,-14.72,-0.01,-6.43,11.35,-11.32,-0.03,-16.58,4.86,-4.39,-0.17
15,EBT Excluding Unusual Items,-149.88,-98.83,-176.19,-144.42,-110.93,-84.83,-123.8,-87.03,-177.16,-101.73,-86.54,-143.18
16,Gain (Loss) on Sale of Investments,0.02,0.04,-0.06,-,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-0.09,-,0.09,-0.01,-0,-0.05,0,0.01,-0.1,0.02,0.03,-
18,Asset Writedown,3.96,-3.96,-0.2,0.2,2.98,-2.98,3.38,-3.38,6.64,-6.64,2.64,-2.64
19,Other Unusual Items,-,-12.75,6.49,6.26,21.9,-0.01,0.01,-,61.14,-,-,-
20,Pretax Income,-145.99,-115.5,-169.87,-137.97,-86.05,-87.86,-120.42,-90.4,-109.49,-108.35,-83.88,-145.82
21,Income Tax Expense,4.6,-0.14,-0.59,0.1,-0.66,0.01,0.01,0.02,-0.24,0.04,0.41,-0.03
22,Earnings From Continuing Operations,-150.59,-115.36,-169.28,-138.07,-85.4,-87.87,-120.43,-90.42,-109.25,-108.39,-84.28,-145.79
23,Minority Interest in Earnings,2.6,-0.2,-2.65,0.25,0.63,0.06,0.16,0.15,0.2,0.21,0.17,0.02
24,Net Income,-147.99,-115.55,-171.93,-137.82,-84.77,-87.81,-120.27,-90.27,-109.04,-108.18,-84.11,-145.77
25,Net Income to Common,-147.99,-115.55,-171.93,-137.82,-84.77,-87.81,-120.27,-90.27,-109.04,-108.18,-84.11,-145.77
26,Shares Outstanding (Basic),-,351,359,353,360,354,354,266,266,264,270,265
27,Shares Outstanding (Diluted),-,351,359,353,360,354,354,266,266,264,270,265
28,Shares Change (YoY),-,-0.69%,1.40%,33.09%,35.25%,33.97%,31.22%,0.18%,-,-,-,-
29,EPS (Basic),-,-0.33,-0.48,-0.39,-0.24,-0.25,-0.34,-0.34,-0.41,-0.41,-0.31,-0.55
30,EPS (Diluted),-,-0.33,-0.48,-0.39,-0.24,-0.25,-0.34,-0.34,-0.41,-0.41,-0.31,-0.55
31,Free Cash Flow,-,-813.25,-717.31,-390.97,-231.39,-277.91,-360.56,-109.74,-62.67,-172.99,-48.93,-171.28
32,Free Cash Flow Per Share,-,-2.32,-2.00,-1.11,-0.64,-0.79,-1.02,-0.41,-0.24,-0.66,-0.18,-0.65
33,Gross Margin,194.42%,16.70%,12.31%,16.68%,14.84%,39.83%,15.02%,50.64%,26.19%,48.53%,26.61%,49.71%
34,Operating Margin,-27.44%,-61.51%,-91.23%,-162.00%,-45.05%,-137.74%,-136.88%,-167.25%,-58.49%,-160.63%,-67.57%,-290.87%
35,Profit Margin,-34.02%,-59.71%,-90.01%,-139.99%,-30.41%,-108.91%,-131.43%,-163.74%,-37.63%,-152.32%,-62.52%,-286.68%
36,Free Cash Flow Margin,-,-420.26%,-375.53%,-397.14%,-83.01%,-344.70%,-394.02%,-199.05%,-21.63%,-243.56%,-36.37%,-336.84%
37,EBITDA,-109.42,-109.06,-152.94,-149.53,-115.6,-103.34,-118.06,-84.5,-161.8,-108.55,-87.22,-142.38
