,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,-,654.67,1186,1415,804.54,1006,950.89,3992,390.66,-,713.4,-
1,Trading Asset Securities,-,904.41,1169,1642,2636,2696,3023,366.82,486.58,-,586.31,-
2,Cash & Short-Term Investments,1559,1559,2355,3057,3440,3702,3974,4359,877.24,-,1300,1398
3,Cash Growth,-54.68%,-57.89%,-40.73%,-29.87%,292.15%,-,205.73%,211.72%,-,-,-,-
4,Accounts Receivable,-,562.57,648.88,511.87,504.13,367.19,450.96,442.69,448.25,-,246.71,-
5,Other Receivables,-,55.18,40.02,29.83,37.26,17.55,8.45,5.94,10.38,-,11.97,-
6,Receivables,-,617.75,688.89,541.7,541.39,384.74,459.41,448.63,458.63,-,258.67,-
7,Inventory,-,448.93,408.71,284.58,135.91,72.22,101.15,74.12,66.64,-,70.12,-
8,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,2.78,-
9,Other Current Assets,-,274.74,109.77,81.54,61.64,74.56,92.53,56.67,45.08,-,13.22,-
10,Total Current Assets,-,2901,3563,3965,4179,4234,4627,4938,1448,-,1645,-
11,"Property, Plant & Equipment",-,1611,337.32,341.03,357.4,190.82,61.47,68.58,72.87,-,59.73,-
12,Long-Term Investments,-,127.9,107.9,107.9,67,-,-,-,-,-,-,-
13,Goodwill,-,56.14,56.14,-,-,-,-,-,-,-,-,-
14,Other Intangible Assets,-,1.89,1.93,2.14,2.41,1.52,1.96,1.32,2.4,-,3.34,-
15,Long-Term Accounts Receivable,-,111.84,120.94,124.36,144.43,124.77,87.6,-,94.12,-,109.68,-
16,Long-Term Deferred Tax Assets,-,7.29,7.55,6.28,6.43,0.1,0.1,0.12,2.64,-,0.12,-
17,Long-Term Deferred Charges,-,1.85,2.29,2.91,3.53,4.22,5.08,6.17,7.35,-,7.4,-
18,Other Long-Term Assets,-,3,538.73,315.17,93.33,220.83,147.01,91.27,-,-,2.03,-
19,Total Assets,-,4822,4735,4865,4854,4776,4930,5106,1627,-,1827,-
20,Accounts Payable,-,392.96,331.33,281.12,246.18,145.03,226.86,213.21,250.72,-,156.11,-
21,Accrued Expenses,-,68.51,68.51,91.02,96.92,80.84,90.05,120.98,152.89,-,99.33,-
22,Short-Term Debt,-,109.6,68.9,50,-,-,-,-,-,-,150.15,-
23,Current Portion of Long-Term Debt,-,-,0.16,-,-,-,-,-,-,-,12.08,-
24,Current Portion of Leases,-,15.81,14.85,13.95,13.82,7.63,9.07,10.65,14.13,-,17.04,-
25,Current Income Taxes Payable,-,11.38,0.21,13.57,0.15,17.76,0.01,29.58,0.1,-,0.34,-
26,Current Unearned Revenue,-,96.71,61.59,56.59,44.89,47.26,49.71,42.83,33.69,-,20.27,-
27,Other Current Liabilities,-,17.6,14.33,18.8,16.81,11.54,12.24,38.53,23.99,-,25.11,-
28,Total Current Liabilities,-,712.57,559.87,525.05,418.77,310.06,387.93,455.78,475.52,-,480.43,-
29,Long-Term Leases,-,17.34,22.46,21.31,22.86,5.07,1.91,2.33,2.66,-,10.72,-
30,Long-Term Unearned Revenue,-,46.62,19.04,23.35,27.76,26.85,32.72,37.45,53.72,-,72.81,-
31,Long-Term Deferred Tax Liabilities,-,5.5,5.64,5.4,5.58,-,-,-,2.57,-,-,-
32,Total Liabilities,-,782.03,607.01,575.11,474.97,341.98,422.56,495.57,534.47,-,563.97,-
33,Common Stock,-,355.13,355.13,355.13,355.13,355.13,355.13,355.13,266.35,-,266.35,-
34,Additional Paid-In Capital,-,5723,5696,5665,5617,5587,5573,5555,2036,-,1989,-
35,Retained Earnings,-,-2018,-1902,-1730,-1592,-1507,-1420,-1299,-1209,-,-991.88,-
36,Treasury Stock,-,-39.46,-38.94,-,-,-,-,-,-,-,-,-
37,Comprehensive Income & Other,-,0.25,0.17,0.15,0.15,0.18,0.2,0.05,0.11,-,0,-
38,Total Common Equity,4021,4021,4110,4291,4380,4435,4508,4611,1093,-,1263,1405
39,Minority Interest,-,18.35,18.15,-1.24,-1.71,-1.08,-1.02,-0.86,-0.71,-,-0.3,-
40,Shareholders' Equity,4040,4040,4128,4289,4379,4434,4507,4610,1092,-,1263,1405
41,Total Liabilities & Equity,-,4822,4735,4865,4854,4776,4930,5106,1627,-,1827,-
42,Total Debt,142.75,142.75,106.37,85.26,36.67,12.7,10.98,12.98,16.79,-,189.99,40.13
43,Net Cash (Debt),1416,1416,2249,2972,3403,3689,3963,4346,860.44,-,1110,1358
44,Net Cash Growth,-58.39%,-61.61%,-43.25%,-31.62%,295.55%,-,257.09%,219.98%,-,-,-,-
45,Net Cash Per Share,-,4.03,6.27,8.41,9.46,10.43,11.20,16.37,3.24,-,4.12,5.12
46,Filing Date Shares Outstanding,-,351.19,353.72,355.13,355.13,355.13,355.13,355.13,355.13,263.97,266.35,265.04
47,Total Common Shares Outstanding,-,351.19,353.72,355.13,355.13,355.13,355.13,355.13,266.35,263.97,266.35,265.04
48,Working Capital,-,2188,3003,3440,3760,3924,4239,4483,972.07,-,1164,-
49,Book Value Per Share,11.45,11.45,11.62,12.08,12.33,12.49,12.70,12.98,4.10,-,4.74,5.28
50,Tangible Book Value,3963,3963,4052,4289,4378,4434,4506,4610,1091,-,1260,1403
51,Tangible Book Value Per Share,11.29,11.29,11.46,12.08,12.33,12.48,12.69,12.98,4.10,-,4.73,5.27
52,Machinery,-,-,418.28,-,393.84,-,98.49,-,90.48,-,62.9,-
