,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022"
0,Cash & Equivalents,1161,987.27,1050,1445,1400,736.52,-,891.39,828.96,-,-,817.76
1,Trading Asset Securities,290.15,310.15,248.75,40.05,0.05,-,-,-,20,-,-,149.7
2,Cash & Short-Term Investments,1451,1297,1299,1486,1400,736.52,891.39,891.39,848.96,-,967.46,967.46
3,Cash Growth,3.69%,76.15%,45.72%,66.65%,64.88%,-,-7.86%,-7.86%,-,-,-,-
4,Accounts Receivable,1292,1332,1307,1196,1087,1057,-,1064,975.91,-,-,926.34
5,Other Receivables,177.14,193.56,211.82,40.07,33.21,36.64,-,26.96,20.17,-,-,14.3
6,Receivables,1469,1526,1519,1236,1121,1094,-,1091,996.08,-,-,940.65
7,Inventory,288.65,179.99,162.25,182,159.35,134.9,-,86.09,134.96,-,-,56.47
8,Other Current Assets,168.24,55.53,28.27,22.09,32.02,23.29,-,22.35,34.46,-,-,12.29
9,Total Current Assets,3378,3059,3008,2926,2712,1989,-,2091,2014,-,-,1977
10,"Property, Plant & Equipment",373.08,332.21,329.45,333.65,306.29,296.79,-,261.39,180.36,-,-,156.98
11,Long-Term Investments,-,-,-,182.3,176.73,176.73,-,175.42,177.31,-,-,180.87
12,Goodwill,9.34,-,-,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,94.26,92.93,53.89,54.19,54.57,54.92,-,39.23,38.7,-,-,39.15
14,Long-Term Deferred Tax Assets,54.79,43.83,43.52,42.52,37.22,39.89,-,38.94,30.45,-,-,29.27
15,Long-Term Deferred Charges,0.36,0.7,0.59,0.71,0.83,0.95,-,1.12,1.78,-,-,-
16,Other Long-Term Assets,41.66,6.85,2.25,1.51,5.77,8.28,-,14.17,57.26,-,-,1.08
17,Total Assets,3951,3535,3438,3540,3293,2566,-,2621,2500,-,-,2384
18,Accounts Payable,812.33,660.46,601.1,670.94,505.66,538.38,-,592.57,514.3,-,-,458.78
19,Accrued Expenses,16.07,15.3,8.08,27.53,7.57,11.73,-,34.75,5.5,-,-,27.14
20,Short-Term Debt,-,-,-,-,-,-,-,-,-,-,-,20
21,Current Portion of Long-Term Debt,-,14,-,-,-,-,-,-,-,-,-,-
22,Current Portion of Leases,51,3.41,3.37,3.43,5.27,5.17,-,4.5,-,-,-,-
23,Current Income Taxes Payable,34.65,28.98,9.86,10.17,6.23,3.87,-,13.21,1.18,-,-,11.9
24,Current Unearned Revenue,123.32,70.7,76.33,108.38,96.06,78.06,-,79.32,107.37,-,-,52.23
25,Other Current Liabilities,62.78,35.21,14.23,15.27,14.68,12.44,-,13,20.34,-,-,9.17
26,Total Current Liabilities,1100,828.06,712.98,835.72,635.47,649.66,-,737.34,648.7,-,-,579.22
27,Long-Term Debt,664.32,609.84,564.75,555.71,546.74,-,-,-,-,-,-,-
28,Long-Term Leases,27.37,-,-,0.45,1.36,3.34,-,4.19,4.36,-,-,-
29,Long-Term Unearned Revenue,21.98,22.08,21.93,21.93,21.93,20.65,-,15.68,13.12,-,-,13.42
30,Long-Term Deferred Tax Liabilities,32.52,26.54,28.75,51.86,50.14,22.69,-,22.33,21.45,-,-,21.59
31,Total Liabilities,1846,1487,1328,1466,1256,696.35,-,779.54,687.63,-,-,614.23
32,Common Stock,165.71,160.01,160,160,160,160,-,160,160,-,-,160
33,Additional Paid-In Capital,766.29,668.46,689.35,689.33,689.33,689.33,-,688.71,690.31,-,-,690.31
34,Retained Earnings,1108,1085,1116,939.78,907.36,886.67,-,853.49,822.44,-,-,783.23
35,Treasury Stock,-80.17,-26.24,-17.41,-,-,-,-,-,-,-,-,-
36,Comprehensive Income & Other,144.91,161.5,161.67,285.72,280.81,133.98,-,133.18,135.03,-,-,136.45
37,Total Common Equity,2105,2049,2109,2075,2037,1870,1835,1835,1808,-,1770,1770
38,Minority Interest,-,-,-,-,-,-,-,6.09,4.9,-,-,-
