,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022"
0,Operating Revenue,282.57,321.01,264.28,398.53,178.96,264.99,197.88,425.3,126.26,177.8,177.8,369.12
1,Other Revenue,-7.45,7.45,-,13.1,-6.08,6.08,-,7.34,-4.23,2.12,2.12,7.77
2,Revenue,275.12,328.46,264.28,411.63,172.88,271.07,197.88,432.63,122.02,179.91,179.91,376.89
3,Revenue Growth (YoY),59.14%,21.17%,33.55%,-4.85%,41.68%,50.67%,9.99%,14.79%,-,-,-,-
4,Cost of Revenue,178.69,238.27,182.44,319.62,126.3,213.5,156.01,327.97,90.64,138.96,138.96,277.51
5,Gross Profit,96.43,90.19,81.84,92,46.58,57.57,41.87,104.67,31.39,40.96,40.96,99.37
6,"Selling, General & Admin",51.6,24.04,25.98,18.3,33.73,15.81,21.04,17.61,24.46,11.5,11.5,10.49
7,Research & Development,5.68,15.14,6.44,11.16,5.44,10.31,7.75,7.55,4.03,3.87,3.87,1.85
8,Other Operating Expenses,-0.76,4.16,0.74,6.74,0.84,1.56,-2.73,9.41,-1.58,-0.85,-0.85,6.97
9,Operating Expenses,70.33,47.99,42.87,55.75,27.44,36.09,13.3,77.96,18.32,22.16,22.16,62.7
10,Operating Income,26.1,42.2,38.97,36.25,19.14,21.48,28.57,26.71,13.07,18.8,18.8,36.67
11,Interest Expense,-8.8,-9.23,-9.09,-8.97,-1.06,-0.1,-0.09,-0.13,-0.25,-0.17,-0.17,-0.53
12,Interest & Investment Income,4.56,6.17,5.3,3.73,4.53,3.75,3.82,2.68,5.46,3.77,3.77,3.72
13,Currency Exchange Gain (Loss),-1.04,1.04,-,0.93,-0.32,0.32,-,2.76,-1.4,0.7,0.7,-1.1
14,Other Non Operating Income (Expenses),8.73,-8.49,-0.2,-0.49,0.35,-0.01,-0.36,-1.45,1,-0.33,-0.33,-0.63
15,EBT Excluding Unusual Items,29.55,31.69,34.97,31.45,22.64,25.44,31.94,30.57,17.88,22.76,22.76,38.14
16,Gain (Loss) on Sale of Investments,-,-,-,-0.25,0.02,-,-0.02,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-0.01,-,0.03,0.08,-,0.07,-,-,0.01,-,-,-
18,Asset Writedown,0.01,-0.01,-,-0.05,0.01,-0.01,-,-0.35,0.3,-0.11,-0.11,1.45
19,Other Unusual Items,-1.93,1.93,0.01,6.01,1.67,-1.67,-,6.3,1.36,-0.68,-0.68,3.59
20,Pretax Income,27.61,33.61,35.01,37.25,24.33,23.84,31.92,36.52,19.55,21.97,21.97,43.18
21,Income Tax Expense,4.36,3.18,4.47,4.82,3.65,2.09,4.96,5.78,1.47,3.5,3.5,7.36
22,Earnings From Continuing Operations,23.26,30.43,30.54,32.43,20.68,21.75,26.96,30.74,18.08,18.47,18.47,35.82
23,Minority Interest in Earnings,-,-,-,-,-,0.13,0.34,0.41,0.1,-,-,-
24,Net Income,23.26,30.43,30.54,32.43,20.68,21.88,27.3,31.15,18.17,18.47,18.47,35.82
25,Net Income to Common,23.26,30.43,30.54,32.43,20.68,21.88,27.3,31.15,18.17,18.47,18.47,35.82
26,Net Income Growth,12.45%,39.11%,11.85%,4.10%,13.81%,18.44%,47.82%,-13.05%,-,-,-,-
27,Shares Outstanding (Basic),156,160,161,163,159,157,161,153,165,161,161,147
28,Shares Outstanding (Diluted),156,160,161,163,159,157,161,153,165,161,161,147
29,Shares Change (YoY),-2.00%,2.22%,0.08%,6.73%,-3.65%,-2.45%,-0.00%,3.71%,-,-,-,-
30,EPS (Basic),0.15,0.19,0.19,0.20,0.13,0.14,0.17,0.20,0.11,0.11,0.12,0.24
