,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022"
0,Market Capitalization,5261,4600,4404,3267,2691,2930,3024,2494,2374,2363,2498,2429,2850
1,Market Cap Growth,57.03%,57.03%,45.64%,30.98%,13.34%,23.97%,21.08%,2.70%,-16.68%,-,-,-,-
2,Enterprise Value,4552,3930,3673,2341,1845,2202,2147,1618,1535,1416,2253,2184,2605
3,Last Close Price,32.37,28.16,27.68,20.20,16.64,18.12,18.70,15.33,14.59,14.52,15.35,14.82,17.39
4,PE Ratio,44.38,39.44,38.60,30.96,26.31,29.00,30.70,26.23,27.53,25.99,34.32,44.73,79.55
5,PS Ratio,4.05,3.60,3.74,2.92,2.55,2.73,2.95,2.68,2.60,2.75,3.39,4.36,7.56
6,PB Ratio,2.48,2.19,2.15,1.55,1.30,1.44,1.62,1.35,1.29,1.30,-,1.37,1.61
7,P/TBV Ratio,2.30,2.30,2.25,1.59,1.33,1.48,1.67,1.39,1.32,1.34,-,1.40,1.65
8,P/FCF Ratio,-,-21.86,-,-,-37.11,-,-,-,-43.75,-,-,-,116.76
9,P/OCF Ratio,-,-118.66,-20.14,-,89.28,-,-,-,34.04,294.86,-,-,116.57
10,EV/Sales Ratio,3.56,3.07,3.12,2.09,1.75,2.05,2.10,1.73,1.68,1.65,3.06,3.92,6.91
11,EV/EBITDA Ratio,26.95,23.95,23.46,17.50,15.02,19.53,20.14,15.60,16.34,13.61,25.94,34.17,63.53
12,EV/EBIT Ratio,31.71,27.38,26.90,20.21,17.50,22.96,23.91,18.57,19.84,16.21,30.34,39.38,71.04
13,EV/FCF Ratio,-21.63,-18.68,-,-,-25.44,-,-,-,-28.28,-,-,-,106.74
14,Debt / Equity Ratio,0.35,0.35,0.31,0.27,0.27,0.27,0.00,0.00,0.00,0.00,-,0.01,0.01
15,Debt / EBITDA Ratio,4.40,6.02,3.09,3.25,3.06,5.94,0.08,0.07,0.07,0.06,-,0.22,0.12
16,Debt / FCF Ratio,-,-3.53,-,-,-7.72,-,-,-,-0.16,-,-,-,0.82
17,Asset Turnover,0.29,0.38,0.30,0.48,0.24,-,-,0.68,-,-,-,-,
18,Inventory Turnover,4.10,3.05,5.57,4.24,7.49,3.43,-,-,11.87,-,-,-,-
19,Quick Ratio,2.65,2.65,3.41,3.95,3.26,3.97,2.82,-,2.69,2.84,-,-,3.29
20,Current Ratio,3.07,3.07,3.69,4.22,3.50,4.27,3.06,-,2.84,3.11,-,-,3.41
21,Return on Equity (ROE),4.48%,5.85%,5.84%,6.31%,4.23%,4.69%,5.86%,6.73%,-,-,4.17%,-,
22,Return on Assets (ROA),1.74%,3.03%,2.79%,2.65%,1.63%,-,-,2.61%,-,-,-,-,
23,Return on Capital (ROIC),2.36%,3.94%,3.67%,3.47%,2.14%,2.88%,3.86%,3.64%,-,-,2.63%,-,
24,Return on Capital Employed (ROCE),5.03%,5.03%,5.05%,4.25%,3.90%,3.61%,4.69%,-,4.11%,4.72%,-,-,2.03%
25,Earnings Yield,2.22%,2.54%,2.59%,3.23%,3.80%,3.45%,3.26%,3.81%,3.63%,3.85%,2.91%,2.24%,1.26%
26,FCF Yield,-4.00%,-4.57%,-7.61%,-11.53%,-2.69%,-4.35%,-4.38%,-3.49%,-2.29%,-2.97%,-0.11%,0.45%,0.86%
27,Dividend Yield,0.70%,-,-,-,1.50%,-,-,-,0.69%,-,-,-,0.58%
28,Payout Ratio,35.72%,9.04%,130.04%,-,-,-,73.15%,-,0.17%,2.80%,43.31%,43.31%,-
29,Buyback Yield / Dilution,-1.70%,2.00%,-2.22%,-0.08%,-6.73%,3.65%,2.45%,0.00%,-3.71%,-,-,-,-
30,Total Shareholder Return,-1.01%,2.00%,-2.22%,-0.08%,-5.23%,3.65%,2.45%,0.00%,-3.03%,-,-,-,0.58%
