,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,254.63,273.76,295.53,322.74,235.61,258,-,280.34,178.43,196.93,257.94,348.37,211.37,305.55,447.35,228.12,-,112.47,-
1,Trading Asset Securities,-,8.69,8.04,6.84,6.17,6.87,7.24,-,8.06,77.78,93.23,64.68,7.9,139.2,39.09,10.4,9.19,-,5.49,-
2,Cash & Short-Term Investments,263.31,263.31,281.79,302.37,328.91,242.48,265.24,288.4,288.4,256.2,290.16,322.62,356.26,350.56,344.64,457.75,237.31,-,117.96,182.98
3,Cash Growth,-19.94%,8.59%,6.24%,4.85%,14.05%,-5.36%,-8.59%,-10.61%,-19.05%,-26.92%,-15.81%,-29.52%,50.13%,-,192.16%,150.17%,-,-,-,-
4,Accounts Receivable,-,244.5,224.42,181.7,197.8,232.41,221.22,-,244.08,239.45,200.22,169.68,197.9,163.96,189.03,109.17,173.75,-,273.96,-
5,Other Receivables,-,5.5,9.01,5,7.66,17.37,7.37,-,7.59,8.31,9.25,7.54,7.2,6.35,7.84,4.73,4.79,-,5.61,-
6,Receivables,-,250.01,233.43,186.7,205.46,249.79,228.59,-,251.67,247.77,209.48,177.23,205.1,170.3,196.87,113.9,178.54,-,279.57,-
7,Inventory,-,63.05,67.14,53.63,31.84,91.66,54.68,-,41.87,66.25,55.08,46,44.34,50.03,34.96,35.14,29.81,-,45.27,-
8,Other Current Assets,-,12.53,9.95,18.57,13,28.7,27.94,-,15.64,13.02,10.98,12.21,14.66,48.85,17.62,22.15,16.94,-,26.2,-
9,Total Current Assets,-,588.9,592.32,561.27,579.2,612.63,576.46,-,597.58,583.25,565.68,558.05,620.37,619.75,594.09,628.94,462.61,-,469.02,-
10,"Property, Plant & Equipment",-,341.47,333.46,341.67,338.5,339.7,354.4,-,336.94,293.16,262.45,244.24,236.9,193.35,186,183.66,183.53,-,135.11,-
11,Long-Term Investments,-,18.44,39.64,18.44,39.32,20,20,-,20,20,20,20,20,-,-,-,-,-,-,-
12,Goodwill,-,-,-,-,-,-,4.62,-,4.62,4.62,4.62,4.62,4.62,8.39,-,-,-,-,-,-
13,Other Intangible Assets,-,29.59,29.78,30.12,30.46,29.48,29.8,-,30.29,30.56,30.8,31.03,31.25,31.26,31.47,31.09,31.26,-,31.66,-
14,Long-Term Accounts Receivable,-,-,23.92,-,14.09,-,12.33,-,10.83,-,19.82,-,14.61,-,19.21,8.86,25.37,-,14.87,-
15,Long-Term Deferred Tax Assets,-,6.14,5.49,6.19,5.5,10.39,10.5,-,7.6,4.62,6.41,6.07,6.66,1.75,1.76,1.49,1.65,-,2.57,-
16,Long-Term Deferred Charges,-,-,-,-,-,-,-,-,-,0.26,0.02,0.02,0.03,0.03,-,-,-,-,-,-
17,Other Long-Term Assets,-,43.96,0.88,33.9,0.57,23.05,0.8,-,0.73,20.95,1.58,20.45,1.69,12.21,1.16,29.93,1.61,-,1.44,-
18,Total Assets,-,1028,1025,991.59,1008,1035,1009,-,1009,957.42,911.37,884.48,936.12,866.74,833.7,883.97,706.03,-,654.68,-
19,Accounts Payable,-,177.11,166.37,154.72,168.29,207.7,196.11,-,198.95,149.83,152.93,84.27,156.41,112.24,106.8,108.67,147.83,-,149.48,-
20,Accrued Expenses,-,11.59,20.03,12.97,14.7,3.68,12.21,-,21.06,8.9,11.79,3.84,18.02,5.48,6.14,3,25.38,-,8.54,-
21,Short-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5.01,-,5.01,-
22,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.84,-,0.99,-
23,Current Portion of Leases,-,-,-,-,-,-,0.49,-,0.48,0.25,0.25,0.25,0.24,-,-,-,-,-,-,-
