,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2001,1831,1642,1666,1581,2046,1932,1985,1904,1569,1518,1773,1722,2007,2058,2139,2213,-,-,-,-
1,Market Cap Growth,-10.49%,-10.49%,-14.99%,-16.06%,-16.94%,30.40%,27.27%,11.93%,10.54%,-21.82%,-26.24%,-17.11%,-22.17%,-,-,-,-,-,-,-,-
2,Enterprise Value,1737,1568,1361,1363,1339,1804,1671,1700,1650,1316,1230,1452,1371,1656,1713,1716,2007,-,-,-,-
3,Last Close Price,11.35,10.39,9.35,9.19,8.54,11.06,10.44,10.72,10.11,8.33,8.06,9.42,8.95,10.44,10.70,11.12,11.34,-,-,-,-
4,PE Ratio,19.57,17.77,16.42,18.68,17.79,27.48,28.35,32.91,31.15,24.66,21.47,28.98,27.62,28.56,32.35,28.96,26.88,-,-,-,-
5,PS Ratio,3.44,3.12,2.41,2.59,2.56,3.62,3.81,3.72,3.62,2.89,2.86,4.11,4.22,4.89,4.91,4.87,4.49,-,-,-,-
6,PB Ratio,2.47,2.26,2.03,2.04,1.97,2.54,2.46,2.62,2.49,2.06,2.04,2.45,2.34,2.74,2.92,3.08,3.13,-,-,-,-
7,P/TBV Ratio,2.35,2.35,2.10,2.12,2.04,2.64,2.56,2.76,2.62,2.16,2.15,2.58,2.46,2.89,3.09,3.22,3.27,-,-,-,-
8,P/FCF Ratio,-,-,15.11,-,-,26.86,-,-,507.85,-38.78,-,-,-,-338.45,-132.99,-,-,-,-,-,-
9,P/OCF Ratio,-,-,11.64,-,14.40,15.01,-,23.43,21.13,22.79,19.34,18.54,34.02,40.31,35.85,-,15.18,-,-,-,-
10,EV/Sales Ratio,2.96,2.67,2.00,2.12,2.16,3.19,3.29,3.19,3.14,2.43,2.32,3.37,3.36,4.03,4.09,3.91,4.08,-,-,-,-
11,EV/EBITDA Ratio,11.97,10.76,10.48,13.31,13.56,20.62,22.02,24.51,24.44,19.60,17.36,24.23,19.80,21.32,23.20,19.69,21.21,-,-,-,-
12,EV/EBIT Ratio,13.96,12.60,12.54,16.32,16.56,25.04,26.57,29.76,28.40,22.50,19.54,27.96,22.38,23.81,26.10,21.81,23.30,-,-,-,-
