,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,117.57,197.27,165.54,106.72,203.26,167.84,132.45,53.53,147.35,185.77,133.07,69.74,134.23,94.09,101.85,72.76,148.4,105.41,164.17,33.18
1,Other Revenue,-,-1.25,1.25,-,8.11,-9.98,9.98,-,6.41,-1.9,1.9,-,7.84,-9.74,9.74,-,1.77,-0.48,0.48,-
2,Revenue,117.57,196.02,166.79,106.72,211.37,157.85,142.43,53.53,153.76,183.87,134.97,69.74,142.08,84.35,111.59,72.76,150.17,104.93,164.66,33.18
3,Revenue Growth (YoY),-44.38%,24.18%,17.10%,99.38%,37.46%,-14.15%,5.53%,-23.24%,8.22%,117.99%,20.95%,-4.15%,-5.39%,-19.61%,-32.23%,119.27%,-,-,-,-
4,Cost of Revenue,131.93,133.67,129.47,67.54,155.51,107.39,99.24,39.66,114.86,132.04,101.21,51.78,98.39,60.93,71.44,47.81,110.17,68.89,108.13,24.63
5,Gross Profit,-14.36,62.34,37.32,39.19,55.86,50.46,43.19,13.87,38.91,51.83,33.76,17.96,43.69,23.42,40.15,24.95,40,36.03,56.53,8.55
6,"Selling, General & Admin",-42.4,13.1,12.82,16.49,19.64,15.29,15.78,8.06,10.22,18.36,11.38,7.83,10.66,8.25,8.33,9.45,10.67,11.77,10.31,6.07
7,Research & Development,-21.49,5.86,6.39,9.24,11.32,9.4,7.73,5.94,8.54,8.32,6.27,6.23,8.59,4.77,5.45,3.77,7.6,5.54,7.22,3
8,Other Operating Expenses,8.35,-7.41,-1.64,0.7,-1.64,-0.25,-0.2,0.16,3.21,0.28,-0.41,0.56,4.03,0.63,-1.37,-0.3,5.81,0.44,0.65,-3.21
9,Operating Expenses,-56.27,11.09,19.14,26.04,29.92,24.16,27.72,9.54,22.11,31.29,17.33,13.26,22.44,13.87,14.38,11.96,22.67,13.44,23.31,4.14
10,Operating Income,41.92,51.25,18.18,13.15,25.94,26.3,15.47,4.33,16.79,20.55,16.43,4.7,21.25,9.54,25.77,13,17.33,22.59,33.22,4.41
11,Interest Expense,-4.56,-,-0.31,-,-,-0.03,-,-,-,-0.01,-,-0.01,-0.01,-,-0.06,-,-0.06,-0.06,-1.44,-
12,Interest & Investment Income,-,2.11,-,2.76,2.84,7.92,1.34,0.91,1.14,1.29,1.45,0.87,2.18,0.82,0.28,1.13,0.35,0.49,-,2.06
13,Currency Exchange Gain (Loss),-,-0.24,0.24,-,1.65,-2.21,2.21,-,7.17,-5,5,-,-1.53,0.6,-0.6,-,-3.17,-1.28,1.28,-
14,Other Non Operating Income (Expenses),0.42,-0.77,1.75,-1.81,-2.07,1.97,0.74,-0.8,-7.44,7.43,0.3,-0.48,0.51,-0.55,0.07,0.03,0.91,-0.72,0.37,-0.1
15,EBT Excluding Unusual Items,37.77,52.35,19.86,14.09,28.35,33.95,19.75,4.44,17.67,24.26,23.18,5.08,22.4,10.41,25.46,14.16,15.37,21.02,33.44,6.37
16,Gain (Loss) on Sale of Investments,-2.52,0.67,1.17,0.68,-0.71,-0.36,0.09,-0.91,-0.72,-0.45,0.55,0.78,-1.3,0.11,-1.32,1.21,1.93,1.76,0.75,-0.9
17,Gain (Loss) on Sale of Assets,-,0.02,-0,-0.02,-0.33,0.01,-0,-0.13,-0.08,0.04,-0,-0.04,0.02,0.06,-0.06,-,-0.01,-,-,-
18,Asset Writedown,2.06,-2.06,0.04,-0.04,2.17,-2.17,0.01,-0.01,-0.27,0.27,0.04,-0.04,0.01,-0.01,0.01,-0.01,0.09,-0.09,0.08,-0.08
19,Other Unusual Items,-,-6.86,2.96,3.9,3.38,-,-,-,2.26,-,-0.46,0.46,6.48,-,-,-,4.92,-,-,-
20,Pretax Income,37.31,44.12,24.03,18.62,32.85,31.43,19.84,3.39,18.85,24.12,23.32,6.23,27.61,10.58,24.09,15.37,22.31,22.69,34.27,5.39
21,Income Tax Expense,9.18,6.25,4.14,1.44,8.15,4.31,0.03,0.66,-0.15,4.04,2.36,0.84,1.74,0.94,2.52,2.13,3.14,2.81,4.24,0.75
22,Earnings From Continuing Operations,28.13,37.87,19.89,17.18,24.7,27.12,19.82,2.73,19.01,20.08,20.95,5.39,25.88,9.63,21.57,13.24,19.17,19.88,30.03,4.64
23,Minority Interest in Earnings,-,-,-,-,0.37,-0.11,-0.2,0.03,-0.23,-0.92,-0.55,-0.09,-0.03,-,-,-,-,-,-,-
24,Net Income,28.13,37.87,19.89,17.18,25.08,27.01,19.61,2.76,18.78,19.15,20.41,5.3,25.84,9.63,21.57,13.24,19.17,19.88,30.03,4.64
25,Net Income to Common,28.13,37.87,19.89,17.18,25.08,27.01,19.61,2.76,18.78,19.15,20.41,5.3,25.84,9.63,21.57,13.24,19.17,19.88,30.03,4.64
26,Net Income Growth,12.18%,40.24%,1.43%,521.79%,33.55%,40.99%,-3.89%,-47.88%,-27.35%,98.84%,-5.39%,-59.96%,34.80%,-51.54%,-28.18%,185.32%,-,-,-,-
27,Shares Outstanding (Basic),176,182,166,187,176,156,207,165,189,175,204,159,175,190,177,132,127,141,129,139
28,Shares Outstanding (Diluted),176,182,166,187,191,156,207,165,189,175,204,159,175,190,177,132,127,141,129,139
29,Shares Change (YoY),-7.96%,16.72%,-20.13%,13.24%,0.94%,-11.02%,1.87%,3.94%,8.11%,-7.87%,15.05%,20.25%,37.59%,35.43%,37.08%,-4.99%,-,-,-,-
