,Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,+2 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020",+2 Quarters
0,"Property, Plant & Equipment",60104,61406,62950.0,63126.0,63555.0,64761,65296,65509,67318,71993,Upgrade
1,Cash & Equivalents,726.22,810.83,898.39,793.34,668.55,458.99,1629,561.28,1642,3371,Upgrade
2,Accounts Receivable,110.9,107.16,107.52,128.49,147.43,265.01,199.12,212.01,225.01,320.28,Upgrade
3,Other Receivables,4.31,3.11,8.53,0.71,2.08,0.74,23.22,-,2.19,1.13,Upgrade
4,Investment In Debt and Equity Securities,46.15,46.26,99.89,229.06,337.07,420.01,310.71,2044,2223,152.14,Upgrade
5,Other Current Assets,85.38,177.39,167.11,192.34,152.07,135.69,86.75,106.52,283.26,691.49,Upgrade
6,Trading Asset Securities,-,-,45.9,92.73,16.11,266.62,-,-,-,31.99,Upgrade
7,Other Long-Term Assets,275.89,268.57,189.03,252.28,350.56,410.52,328.49,325.69,-,25.57,Upgrade
8,Total Assets,61353,62819,64466.0,64815.0,65229.0,66719,67873,68759,71693,76586,Upgrade
9,Current Portion of Long-Term Debt,1652,1402,5159.0,8184.0,3717.0,4387,2026,2630,3465,4557,Upgrade
10,Long-Term Debt,12716,12897,9374.0,6343.0,10827.0,10277,13293,13304,12956,12784,Upgrade
11,Accounts Payable,168.65,183.51,136.7,126.91,151.72,99.3,187.77,67.02,68.26,128.73,Upgrade
12,Accrued Expenses,963.48,963.48,963.48,963.48,963.48,963.48,963.48,963.48,963.48,963.48,Upgrade
13,Current Income Taxes Payable,66.55,200.48,133.74,118.94,85.86,81.01,16.43,85.7,46.65,113.64,Upgrade
14,Current Unearned Revenue,68.35,41.8,48.43,42.02,27.73,29.94,49.01,40.8,33.42,33.64,Upgrade
15,Other Current Liabilities,1263,1391,1373.0,1449.0,1469.0,1626,1675,1725,2544,1777,Upgrade
16,Long-Term Deferred Tax Liabilities,799.6,801.5,778.99,786.44,745.98,735.98,697.34,696.74,659.11,658.78,Upgrade
17,Other Long-Term Liabilities,103.54,75.68,84.75,28.33,13.19,-,2.37,-,99.58,-,Upgrade
18,Total Liabilities,17800,17956,18051.0,18042.0,18001.0,18200,18910,19513,20836,21016,Upgrade
19,Common Stock,25211,25153,25095.0,25035.0,24975.0,24911,24847,24778,24709,24637,Upgrade
20,Retained Earnings,-,14018,15611.0,15932.0,16400.0,17738,18315,18668,20494,25252,Upgrade
21,Comprehensive Income & Other,18342,5692,5709.0,5807.0,5853.0,5869,5800,5799,5655,5681,Upgrade
22,Shareholders' Equity,43552,44863,46415.0,46773.0,47228.0,48518,48963,49245,50858,55571,Upgrade
23,Total Liabilities & Equity,61353,62819,64466.0,64815.0,65229.0,66719,67873,68759,71693,76586,Upgrade
24,Total Debt,14368,14299,14532.0,14527.0,14544.0,14665,15319,15934,16421,17341,Upgrade
25,Net Cash / Debt,-13641,-13488,-13588.0,-13641.0,-13859.0,-13939,-13690,-15373,-14779,-13938,Upgrade
26,Net Cash Per Share,-2.25,-2.23,-2.26,-2.28,-2.32,-2.34,-2.31,-2.60,-2.51,-2.37,Upgrade
27,Filing Date Shares Outstanding,6081,6049,6014.0,5991.0,5974.0,5955,5937,5921,5906,5889,Upgrade
28,Total Common Shares Outstanding,6081,6049,6014.0,5991.0,5974.0,5955,5937,5921,5906,5889,Upgrade
29,Book Value Per Share,7.16,7.42,7.72,7.81,7.91,8.15,8.25,8.32,8.61,9.44,Upgrade
30,Tangible Book Value,43552,44863,46415.0,46773.0,47228.0,48518,48963,49245,50858,55571,Upgrade
31,Tangible Book Value Per Share,7.16,7.42,7.72,7.81,7.91,8.15,8.25,8.32,8.61,9.44,Upgrade
