,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,131.83,111.34,122.23,180.46,117.48,148.14,119.42,157.58,178.58,147.79,120.45,142.42,145.36,158.76,141.83,145.22,118.23,164.33,36.93
1,Other Revenue,-0.26,0.26,-,0.9,-0.26,0.26,-,0.17,-0.11,0.11,-,2.52,-2.09,2.09,-,3.41,-0.81,0.81,-
2,Revenue,131.57,111.59,122.23,181.36,117.22,148.4,119.42,157.75,178.48,147.9,120.45,144.93,143.27,160.85,141.83,148.63,117.42,165.14,36.93
3,Revenue Growth (YoY),12.24%,-24.80%,2.35%,14.97%,-34.32%,0.34%,-0.85%,8.84%,24.57%,-8.05%,-15.07%,-2.48%,22.01%,-2.60%,284.06%,-,-,-,-
4,Cost of Revenue,124.39,93.16,95.87,153.93,87.83,113.15,95.38,125.33,144.65,108.79,87.99,117.49,107.07,117.36,104.7,112.65,91.56,126.99,31.01
5,Gross Profit,7.18,18.44,26.36,27.43,29.39,35.25,24.04,32.42,33.82,39.1,32.46,27.45,36.2,43.49,37.12,35.98,25.86,38.15,5.91
6,"Selling, General & Admin",18.89,15.25,13.89,11.68,15.07,12.39,11.02,12.54,10.65,10.52,8.79,9.19,10.72,12.16,8.51,4.95,4.6,6.14,4.01
7,Research & Development,11.95,10.77,9.51,7.78,9.28,10.49,10.55,15.62,12.56,8.08,8.89,12.61,11.74,6.19,6.58,10.72,4.47,4.2,2.22
8,Other Operating Expenses,-4.44,-0.28,-1.43,-4.45,-1.97,-1.48,0.12,0.97,0.07,-0.78,-0.42,3.36,-2.47,0.58,0.07,2.65,-1.23,0.56,-0.2
9,Operating Expenses,23.6,27.84,21.2,18.74,22.2,21.73,22.25,31.41,23.47,19.22,18.24,22.3,22.39,19.04,16.06,15.07,8.84,14.56,6.03
10,Operating Income,-16.42,-9.4,5.17,8.69,7.19,13.51,1.79,1.01,10.35,19.88,14.22,5.15,13.81,24.46,21.07,20.9,17.02,23.59,-0.12
11,Interest Expense,-5.45,-5.03,-3.36,-3.33,-2.9,-3.27,-3.82,-4.57,-2.4,-3.42,-3.29,-,-1.32,-1.46,-2.49,-,-1.93,-2.63,-2.3
12,Interest & Investment Income,0.32,0.47,0.36,0.44,0.33,0.62,1,0.22,0.73,0.52,0.46,0.5,0.48,0.27,0.04,0.23,0.03,0.27,0.22
13,Currency Exchange Gain (Loss),-1.14,1.14,-,1.05,-1.34,1.34,-,2.24,-1.16,1.16,-,-0.6,0.23,-0.23,-,-0.83,-0.01,0.01,-
14,Other Non Operating Income (Expenses),0.99,-0.58,0.12,-1.5,1.26,-1.19,4.41,-5.35,4.95,0.07,-0.25,-7.78,-0.25,7.15,0.15,-2.15,-0.47,2.38,-0.01
15,EBT Excluding Unusual Items,-21.71,-13.41,2.28,5.35,4.54,11,3.38,-6.45,12.47,18.2,11.13,-2.73,12.95,30.19,18.77,18.16,14.64,23.61,-2.2
16,Gain (Loss) on Sale of Investments,-,0.11,-0.11,0.07,-0.07,-0,-0.01,-0.01,-0.13,-0.04,-0,-0.05,-0.11,-0.24,-0.66,-0.25,-,-,-
