,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,130.49,304.3,116.79,181.97,138.79,162.82,278.61,438.42,233.68,454.89,200.33,209.91,122.82,172.6,35.31,28.96,-,84.64,-
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,1.51,-,-,-,-,-
2,Trading Asset Securities,0,0,0,0,-,-,10,15.01,-,-,0.1,0.1,0.1,0.1,-,-,-,0.02,-
3,Cash & Short-Term Investments,130.49,304.3,116.79,181.97,138.79,162.82,288.61,453.43,233.68,454.89,200.43,210.02,122.92,174.21,35.31,28.96,-,84.66,129.66
4,Cash Growth,-5.98%,86.89%,-59.53%,-59.87%,-40.61%,-64.21%,43.99%,115.90%,90.11%,161.12%,467.61%,625.10%,-,105.78%,-72.77%,-,-,-,-
5,Accounts Receivable,210.02,229.32,227.83,235.4,243.01,290.78,256.35,269.36,296.57,269.46,254.72,243.86,325.98,322.49,332.89,312.53,-,246.22,-
6,Other Receivables,2.85,0.33,2.49,2.15,2.36,0.16,1.98,1.88,2.53,0.8,5.06,2.09,2.32,0.79,3.53,0.72,-,1,-
7,Receivables,212.87,229.66,230.33,237.54,245.37,290.94,258.33,271.25,299.11,270.26,259.78,245.95,328.3,323.28,336.43,313.26,-,247.22,-
8,Inventory,383.82,389.56,370.73,396.16,442.1,456.06,475.05,432.5,426.12,420.33,405.41,371.24,261.92,247.93,216.39,200.74,-,210.47,-
9,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,-,1.68,-,0.34,-,1.27,-,-,-
