,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,1941,2072,1884,1945,2648,2594,2576,2968,3112,2658,3441,4586,4729,4265,5269,-,-,-,-,-
1,Market Cap Growth,-20.13%,-20.13%,-26.89%,-34.48%,-14.93%,-2.43%,-25.13%,-35.27%,-34.18%,-37.68%,-34.70%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2920,2940,2678,2617,3321,3231,3125,3356,3500,2802,3539,4639,4781,4260,5425,-,-,-,-,-
3,Last Close Price,16.84,17.97,16.34,16.85,22.95,22.48,22.33,25.73,26.98,23.04,29.82,39.56,40.79,36.79,45.45,-,-,-,-,-
4,PE Ratio,-,-,-,86.33,115.10,112.42,83.93,95.19,77.41,41.42,53.54,60.26,60.37,56.07,69.65,-,-,-,-,-
5,PS Ratio,3.64,3.79,3.54,3.42,4.68,4.78,4.27,4.92,5.15,4.49,6.18,8.05,8.00,7.17,9.27,-,-,-,-,-
6,PB Ratio,2.07,2.01,1.81,1.89,2.59,2.58,2.58,3.01,3.17,3.01,3.96,5.35,5.71,5.41,6.80,-,-,-,-,-
7,P/TBV Ratio,2.33,2.33,2.10,2.15,2.94,2.80,2.80,3.28,3.52,3.31,4.35,5.79,6.07,5.65,7.11,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-143.69,-,-,-,-,-,-,-
9,P/OCF Ratio,13.63,13.63,13.30,-,38.86,-175.30,-51.44,-,-,46.69,88.89,-,81.52,-,-,-,-,-,-,-
10,EV/Sales Ratio,5.34,5.38,5.03,4.60,5.86,5.95,5.17,5.56,5.79,4.74,6.36,8.14,8.09,7.17,9.54,-,-,-,-,-
11,EV/EBITDA Ratio,212.15,-,-,43.20,58.59,66.67,61.14,59.24,51.04,38.81,46.94,58.27,55.48,41.91,52.25,-,-,-,-,-
12,EV/EBIT Ratio,-,-,-,75.75,106.49,137.45,117.18,101.59,77.00,56.51,66.71,80.49,74.15,53.09,65.01,-,-,-,-,-
